site,date,Treatment,N,SWP,sd_SWP,se_SWP,VWC,sd_VWC,se_VWC
CampColton,180618,Exl,3,-290183.79310387466,502483.0443598704,290108.72092439386,0.06209722222222222,0.035124835244110766,0.020279333083428608
CampColton,180619,Add,3,-1.1435757796355455,1.4383763865201686,0.8304469939534206,0.17331944444444444,0.033001113547430044,0.019053201790166143
CampColton,180619,Ctrl,3,-1.3879385790648275,0.988534061889922,0.5707304067352607,0.16177777777777777,0.031087838517717882,0.017948571936728035
CampColton,180619,Exl,3,-14477.864721302147,24806.50271191812,14322.04101837911,0.058055555555555555,0.025066728076904684,0.01447228220290407
CampColton,180620,Add,3,-3.6034950043059304,5.286516612627673,3.0521717893760156,0.1547777777777778,0.03600854290355328,0.020789541938492674
CampColton,180620,Ctrl,3,-4.415882302715982,5.340009135158566,3.0830557116588593,0.14481944444444445,0.03538617151175384,0.02043021564790135
CampColton,180620,Exl,3,-7151.905126364771,11677.504170496273,6742.010176299002,0.051916666666666667,0.0177337073112195,0.010238560689862614
CampColton,180621,Add,3,-14.73876931952083,23.525975285894628,13.582728164259747,0.13434722222222223,0.038454909863274836,0.022201952561224522
CampColton,180621,Ctrl,3,-20.629092364837845,31.954489715161966,18.44893323886589,0.1275,0.04065750836083184,0.023473623396705723
CampColton,180621,Exl,3,-6771.137974963391,9817.335107002105,5668.041066752429,0.04613888888888889,0.012498981439982902,0.007216290298970265
CampColton,180622,Add,3,-48.009436576926646,77.80721814984385,44.92201834370828,0.11469444444444443,0.03651246774631819,0.021080483082114337
CampColton,180622,Ctrl,3,-89.22518406850406,146.48735387733205,84.57451319395363,0.110375,0.041407527496016144,0.02390664714630175
CampColton,180622,Exl,3,-7739.309486887833,8847.590320912243,5108.158653458211,0.041541666666666664,0.008649522305371036,0.00499380403136764
CampColton,180623,Add,3,-137.60236410148798,221.99341257992882,128.16795651134555,0.09656944444444444,0.031818968544867376,0.018370690054715415
CampColton,180623,Ctrl,3,-314.15741938156606,523.6238014374761,302.314342714022,0.09429166666666666,0.03856841414220248,0.022267484287217573
CampColton,180623,Exl,3,-10770.118223366057,8557.02620714615,4940.401384158512,0.03784722222222222,0.006286191510263086,0.003629334360627933
